1285,930
1285,870
1260,870
1260,930
1230,930
1230,870
1205,870
1205,930
1180,930
1180,870
1150,870
1150,925
1150,975
1125,975
1125,925
1125,870
1100,870
1100,925
1100,975
1075,975
1075,925
1075,870
1050,870
1050,925
1050,975
1025,975
1020,925
1020,870
995,870
995,925
995,975
970,975
970,925
970,870
945,870
945,925
945,975
920,975
920,925
920,870
895,870
895,925
895,975
870,975
870,925
870,870
845,870
845,925
845,975
820,975
820,925
825,870
795,870
795,925
795,975
770,975
770,925
770,870
745,870
745,925
745,975
715,975
720,925
720,870
690,870
690,925
690,975
665,975
665,925
665,870
640,870
640,925
640,975
615,975
615,925
615,870
590,870
590,925
590,975
1180,1100
1280,1100
1260,1000
1180,1000
1220,1050
